epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9381,1.52376,4.04299,1.31514,0.00996,0.16898,0.07989,0.0639,1.27539,3.9843,1.10083,0.0001818,0.0001818,0.0001818
2,21.1982,1.38945,2.56211,1.19401,0.97717,0.11867,0.12573,0.08511,1.40724,3.74687,1.24461,0.000369,0.000369,0.000369
3,31.3285,1.44126,2.18253,1.16892,0.89924,0.05549,0.19518,0.12847,1.36073,3.40528,1.14225,0.000552421,0.000552421,0.000552421
4,41.115,1.32788,2.00556,1.13189,0.98926,0.11088,0.25091,0.16436,1.39341,3.03671,1.15763,0.000732062,0.000732062,0.000732062
5,50.9248,1.41944,1.9126,1.16651,0.88948,0.12756,0.23619,0.14657,1.47993,2.98757,1.2001,0.000873004,0.000873004,0.000873004
6,60.811,1.3917,1.83736,1.20987,0.62004,0.24276,0.27149,0.17994,1.42148,2.2656,1.1947,0.000864004,0.000864004,0.000864004
7,70.6301,1.29893,1.64319,1.1332,0.89552,0.31022,0.37895,0.25539,1.41604,1.95234,1.1533,0.000855005,0.000855005,0.000855005
8,80.7628,1.3381,1.59292,1.1527,0.6582,0.42178,0.34007,0.20982,1.44284,1.80459,1.17737,0.000846006,0.000846006,0.000846006
9,90.4771,1.3049,1.53416,1.13618,0.50973,0.42266,0.40165,0.26496,1.34884,1.72288,1.15992,0.000837007,0.000837007,0.000837007
10,100.194,1.25891,1.42212,1.11751,0.84082,0.32474,0.38373,0.26194,1.33348,1.705,1.10633,0.000828008,0.000828008,0.000828008
11,109.899,1.23301,1.34272,1.10319,0.36162,0.42971,0.44582,0.28849,1.37253,1.56398,1.10429,0.000819009,0.000819009,0.000819009
12,119.578,1.30669,1.4029,1.10028,0.4316,0.48126,0.4597,0.30651,1.37341,1.58179,1.10252,0.00081001,0.00081001,0.00081001
13,129.51,1.20094,1.17273,1.0902,0.7225,0.35284,0.48477,0.34007,1.26714,1.36118,1.06383,0.000801011,0.000801011,0.000801011
